ID;Regiao intermediaria;Regiao imediata;Municipio;Região Urbana;Bairro
150;Campo Grande;Campo Grande;Campo Grande;Segredo;Jardim Vida Nova
151;Campo Grande;Campo Grande;Campo Grande;Segredo;Jardim Vida Nova II
152;Campo Grande;Campo Grande;Campo Grande;Bandeira;Jardim Vila Cidade
153;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jd Monumento
154;Campo Grande;Campo Grande;Campo Grande;Segredo;Jd.Bosque De Avilan
155;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Jockey Club
156;Campo Grande;Campo Grande;Campo Grande;Segredo;Jose Tavares Do Couto
157;Campo Grande;Campo Grande;Campo Grande;Bandeira;Lagoa Dourada
158;Campo Grande;Campo Grande;Campo Grande;Lagoa;Lagoa Park
159;Campo Grande;Campo Grande;Campo Grande;Centro;Liberdade
160;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Los Angeles
161;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Loteamento Alto Da Boa Vista
162;Campo Grande;Campo Grande;Campo Grande;Lagoa;Loteamento Bela Laguna
163;Campo Grande;Campo Grande;Campo Grande;Prosa;Loteamento Bosque Da Esperanca
164;Campo Grande;Campo Grande;Campo Grande;Bandeira;Loteamento Cristo Redentor
165;Campo Grande;Campo Grande;Campo Grande;Segredo;Loteamento Dona Dede
166;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Loteamento Novo Dia
167;Campo Grande;Campo Grande;Campo Grande;Segredo;Loteamento Praia Da Urca
168;Campo Grande;Campo Grande;Campo Grande;Lagoa;Loteamento Rancho Alegre II
169;Campo Grande;Campo Grande;Campo Grande;Segredo;Loteamento Tarcila Do Amaral
170;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Loteamento Vespasiano Martins
171;Campo Grande;Campo Grande;Campo Grande;Bandeira;Maria Aparecida Pedrossian
172;Campo Grande;Campo Grande;Campo Grande;Prosa;Mata Do Jacinto
173;Campo Grande;Campo Grande;Campo Grande;Prosa;Mata Do Jacinto 3
174;Campo Grande;Campo Grande;Campo Grande;Segredo;Mata Do Segredo
175;Campo Grande;Campo Grande;Campo Grande;Prosa;Miguel Couto
176;Campo Grande;Campo Grande;Campo Grande;Prosa;Monte Carlo
177;Campo Grande;Campo Grande;Campo Grande;Centro;Monte Castelo
178;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Morada Do Sol
179;Campo Grande;Campo Grande;Campo Grande;Segredo;Morada Do Sossego
180;Campo Grande;Campo Grande;Campo Grande;Segredo;Morada Dos Deuses
181;Campo Grande;Campo Grande;Campo Grande;Segredo;Morada Verde
182;Campo Grande;Campo Grande;Campo Grande;Bandeira;Moreninha
183;Campo Grande;Campo Grande;Campo Grande;Segredo;North Park
184;Campo Grande;Campo Grande;Campo Grande;Segredo;Nova Lima
185;Campo Grande;Campo Grande;Campo Grande;Centro;Nova Sao Bento
186;Campo Grande;Campo Grande;Campo Grande;Bandeira;Novo Samambaia
187;Campo Grande;Campo Grande;Campo Grande;Lagoa;Nucleo Habitacional Buriti
188;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Nucleo Habitacional Universitarias
189;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Nucleo Industrial
190;Campo Grande;Campo Grande;Campo Grande;Centro;Olga
191;Campo Grande;Campo Grande;Campo Grande;Centro;Orpheu Bais
192;Campo Grande;Campo Grande;Campo Grande;Segredo;Oscar Salazar Moura Da Cruz
193;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Panama
194;Campo Grande;Campo Grande;Campo Grande;Bandeira;Panorama
195;Campo Grande;Campo Grande;Campo Grande;Bandeira;Paraiso Do Lageado
196;Campo Grande;Campo Grande;Campo Grande;Bandeira;Parque Dallas
197;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Parque Do Lageado
198;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Parque Do Sol
199;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Parque Dos Laranjais
200;Campo Grande;Campo Grande;Campo Grande;Prosa;Parque Dos Novos Estados
201;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Parque Novo Seculo
202;Campo Grande;Campo Grande;Campo Grande;Segredo;Parque Residencial Azaleia
203;Campo Grande;Campo Grande;Campo Grande;Lagoa;Parque Residencial Dos Girassois
204;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Parque Residencial Iracy Coelho Netto
205;Campo Grande;Campo Grande;Campo Grande;Bandeira;Parque Residencial Rita Vieira
206;Campo Grande;Campo Grande;Campo Grande;Lagoa;Parque Residencial Uniao
207;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Pioneiros
208;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Polo Empresarial
209;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Polo Empresarial Oeste
210;Campo Grande;Campo Grande;Campo Grande;Lagoa;Portal Caioba
211;Campo Grande;Campo Grande;Campo Grande;Lagoa;Portal Caioba II
212;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Porto Galo
213;Campo Grande;Campo Grande;Campo Grande;Bandeira;Recanto Das Palmeiras
214;Campo Grande;Campo Grande;Campo Grande;Segredo;Recanto Do Cerrado
215;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Residecial Nelson Trad
216;Campo Grande;Campo Grande;Campo Grande;Segredo;Residencial Alto Tamandare
217;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Residencial Ana Maria Do Couto
218;Campo Grande;Campo Grande;Campo Grande;Lagoa;Residencial Aquarius II
219;Campo Grande;Campo Grande;Campo Grande;Segredo;Residencial Atlantico Sul
220;Campo Grande;Campo Grande;Campo Grande;Bandeira;Residencial Betaville
221;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Residencial Buzios
222;Campo Grande;Campo Grande;Campo Grande;Bandeira;Residencial Damha II
223;Campo Grande;Campo Grande;Campo Grande;Bandeira;Residencial Estrela Park
224;Campo Grande;Campo Grande;Campo Grande;Bandeira;Residencial Figueiras Do Parque
225;Campo Grande;Campo Grande;Campo Grande;Lagoa;Residencial Flores
226;Campo Grande;Campo Grande;Campo Grande;Segredo;Residencial Gama
227;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Residencial Hugo Rodrigues
228;Campo Grande;Campo Grande;Campo Grande;Bandeira;Residencial Joana D'Arc
229;Campo Grande;Campo Grande;Campo Grande;Lagoa;Residencial Joao Alberto A Dos
230;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Residencial Jose Teruel Filho
231;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Residencial Mario Covas
232;Campo Grande;Campo Grande;Campo Grande;Segredo;Residencial Novo Seminario
233;Campo Grande;Campo Grande;Campo Grande;Bandeira;Residencial Oiti
234;Campo Grande;Campo Grande;Campo Grande;Lagoa;Residencial Oliveira
235;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Residencial Ramez Tebet
236;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Residencial Sirio Libanes I
237;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Residencial Sirio Libanes II
238;Campo Grande;Campo Grande;Campo Grande;Prosa;Residencial Soter
239;Campo Grande;Campo Grande;Campo Grande;Bandeira;Residencial Terra Dos Pequis
240;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Residencial Terra Morena
241;Campo Grande;Campo Grande;Campo Grande;Segredo;Residencial Tolentino
242;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Residencial Vila Bela
243;Campo Grande;Campo Grande;Campo Grande;Bandeira;Rita Vieira
244;Campo Grande;Campo Grande;Campo Grande;Lagoa;Riviera Park
245;Campo Grande;Campo Grande;Campo Grande;Prosa;Royal Park
246;Campo Grande;Campo Grande;Campo Grande;Centro;Santa Dorithea
247;Campo Grande;Campo Grande;Campo Grande;Centro;Santa Dorothea
248;Campo Grande;Campo Grande;Campo Grande;Centro;Santa Dorotheia
249;Campo Grande;Campo Grande;Campo Grande;Prosa;Santa Fe
250;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Santa Monica
251;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Santo Antonio
252;Campo Grande;Campo Grande;Campo Grande;Centro;Sao Francisco
253;Campo Grande;Campo Grande;Campo Grande;Centro;Sao Gabriel
254;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Serradinho
255;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Sobrinho
256;Campo Grande;Campo Grande;Campo Grande;Prosa;Taquaral Bosque
257;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Taquarussu
258;Campo Grande;Campo Grande;Campo Grande;Prosa;Tayama Park
259;Campo Grande;Campo Grande;Campo Grande;Prosa;Terras Alpha Campo Grande
260;Campo Grande;Campo Grande;Campo Grande;Bandeira;Tiradentes
261;Campo Grande;Campo Grande;Campo Grande;Segredo;Trevisso
262;Campo Grande;Campo Grande;Campo Grande;Bandeira;Tv Morena
263;Campo Grande;Campo Grande;Campo Grande;Bandeira;Universitario
264;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Universitario Seccao D
265;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Varandas Do Campo
266;Campo Grande;Campo Grande;Campo Grande;Anhanduizinho;Vila Aimore
267;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Vila Alba
268;Campo Grande;Campo Grande;Campo Grande;Bandeira;Vila Albuquerque
269;Campo Grande;Campo Grande;Campo Grande;Imbirussu;Vila Almeida
270;Campo Grande;Campo Grande;Campo Grande;Lagoa;Vila Anahy
271;Campo Grande;Campo Grande;Campo Grande;Bandeira;Vila Antonio Vendas
272;Campo Grande;Campo Grande;Campo Grande;Centro;Vila Aurora
273;Campo Grande;Campo Grande;Campo Grande;Lagoa;Vila Bandeirante
274;Campo Grande;Campo Grande;Campo Grande;Lagoa;Vila Bandeirantes
