CEP,lat,lon,source,status
79070241,-20.5198707,-54.6095025,cepaberto,Success
79370000,-19.009336,-57.5977799,cepaberto,Success
79804010,-22.223561,-54.8125486,cepaberto,Success
79230000,-21.4587733,-56.112223,cepaberto,Success
79063500,-20.5234152,-54.5980587,cepaberto,Success
79021184,-20.4543986,-54.5820334,cepaberto,Success
79300006,-19.0059669,-57.6508371,cepaberto,Success
79002500,-20.4697105,-54.6201211,cepaberto,Success
79095071,-20.5284609,-54.6685029,cepaberto,Success
79630150,-20.7881689,-51.7030483,cepaberto,Success
79004050,-20.4794626,-54.6086212,cepaberto,Success
79904590,-22.523123,-55.7242526,cepaberto,Success
79071340,-20.5357942,-54.6183469,cepaberto,Success
79801014,-22.223561,-54.8125486,cepaberto,Success
79803010,-22.223561,-54.8125486,cepaberto,Success
79009231,-20.4399026,-54.6252069,cepaberto,Success
79040000,-20.4643395,-54.579342,cepaberto,Success
79831270,-22.223561,-54.8125486,cepaberto,Success
79320080,-19.016234,-57.6608272,cepaberto,Success
79830021,-22.223561,-54.8125486,cepaberto,Success
79005330,-20.4697105,-54.6201211,cepaberto,Success
79032410,-20.4365975,-54.5736942,cepaberto,Success
79005240,-20.4753814,-54.6228777,cepaberto,Success
79002205,-20.4697105,-54.6201211,cepaberto,Success
79021220,-20.4697105,-54.6201211,cepaberto,Success
79036360,-20.4418184,-54.5656942,cepaberto,Success
79040010,-20.4643395,-54.579342,cepaberto,Success
79002001,-20.4697105,-54.6201211,cepaberto,Success
79115020,-20.4320567,-54.6564052,cepaberto,Success
79801017,-22.223561,-54.8125486,cepaberto,Success
79840395,-22.2409546,-54.7931752,cepaberto,Success
79813310,-22.223561,-54.8125486,cepaberto,Success
79108540,-20.4805944,-54.7523188,cepaberto,Success
79063050,-20.5240788,-54.5820828,cepaberto,Success
79004310,-20.4736035,-54.6136081,cepaberto,Success
79910019,-22.1883962,-55.9509648,azure,Success
79020310,-20.4697105,-54.6201211,cepaberto,Success
79071010,-20.4697105,-54.6201211,cepaberto,Success
79102000,-20.4697105,-54.6201211,cepaberto,Success
79017141,-20.4003364,-54.5662338,cepaberto,Success
79033005,-20.4129336,-54.5751846,cepaberto,Success
79824130,-22.2206677,-54.8269781,cepaberto,Success
79102270,-20.4562306,-54.6670431,cepaberto,Success
79630170,-20.8012069,-51.7276459,cepaberto,Success
79745000,-22.6697886,-53.8606483,cepaberto,Success
79806070,-22.223561,-54.8125486,cepaberto,Success
79045242,-20.4631668,-54.5392259,cepaberto,Success
79803020,-22.223561,-54.8125486,cepaberto,Success
79600081,-20.7881689,-51.7030483,cepaberto,Success
79009790,-20.4501232,-54.6286897,cepaberto,Success
79330080,-19.005174,-57.6527186,cepaberto,Success
79050230,-20.4808049,-54.6067052,cepaberto,Success
79041070,-20.4694859,-54.5751984,cepaberto,Success
79110030,-20.4529552,-54.6371556,cepaberto,Success
79012000,-20.4208492,-54.6086,cepaberto,Success
79005671,-20.4697105,-54.6201211,cepaberto,Success
79033210,-20.4244079,-54.5702826,cepaberto,Success
79890000,-22.0804966,-54.793886,cepaberto,Success
79006560,-20.479984,-54.6410312,cepaberto,Success
79822059,-22.2273478,-54.8305137,cepaberto,Success
79040280,-20.4662348,-54.5823688,cepaberto,Success
79071081,-20.5256553,-54.608548,cepaberto,Success
79824040,-22.223561,-54.8125486,cepaberto,Success
79849899,-22.223561,-54.8125486,cepaberto,Success
79220000,-21.1588208,-55.8291569,cepaberto,Success
79005260,-20.4784764,-54.6172402,cepaberto,Success
79116020,-20.4287713,-54.6404801,cepaberto,Success
79041130,-20.4774986,-54.5861941,cepaberto,Success
79610310,-20.7881689,-51.7030483,cepaberto,Success
79804030,-22.223561,-54.8125486,cepaberto,Success
